"file","source_row","field","value","action"
"boron_isotopes_seki_2010.xlsx",4,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",5,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",6,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",7,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",8,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",9,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",10,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",11,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",12,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",13,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",14,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",15,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",16,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",17,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",18,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",19,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",20,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",21,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",22,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_seki_2010.xlsx",23,"BY",,"Used explicit 2s magnitude headers; distribution label absent"
"boron_isotopes_stap_2016.xlsx",25,"AG","0.5387","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",26,"AG","0.5418","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",27,"AG","0.5963","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",28,"AG","0.6204","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",29,"AG","0.7579","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",30,"AG","0.8194","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",31,"AG","0.8588","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",32,"AG","0.9445","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",33,"AG","1.8204","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",34,"AG","2.736","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",35,"AG","2.8872","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",36,"AG","3.0408","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",37,"AG","3.2145","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",38,"AG","3.6594","Age-only row with no sample metadata or measurements; excluded"
"boron_isotopes_stap_2016.xlsx",39,"AG","3.887","Age-only row with no sample metadata or measurements; excluded"
