"file","source_row","field","value","problem"
"stomata-franks_liang_2022a.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022a.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022b.xlsx",4,"F",,"Missing latitude"
"stomata-franks_liang_2022b.xlsx",5,"F",,"Missing latitude"
"stomata-franks_liang_2022b.xlsx",6,"F",,"Missing latitude"
"stomata-franks_liang_2022b.xlsx",7,"F",,"Missing latitude"
"stomata-franks_liang_2022b.xlsx",8,"F",,"Missing latitude"
"stomata-franks_liang_2022b.xlsx",9,"F",,"Missing latitude"
"stomata-franks_liang_2022b.xlsx",4,"G",,"Missing longitude"
"stomata-franks_liang_2022b.xlsx",5,"G",,"Missing longitude"
"stomata-franks_liang_2022b.xlsx",6,"G",,"Missing longitude"
"stomata-franks_liang_2022b.xlsx",7,"G",,"Missing longitude"
"stomata-franks_liang_2022b.xlsx",8,"G",,"Missing longitude"
"stomata-franks_liang_2022b.xlsx",9,"G",,"Missing longitude"
"stomata-franks_liang_2022b.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022b.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022b.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022b.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022b.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_liang_2022b.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_londono_2018.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_londono_2018.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_londono_2018.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_londono_2018.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_londono_2018.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",4,"A",,"Missing sample ID"
"stomata-franks_reichgelt_2020.xlsx",17,"A",,"Missing sample ID"
"stomata-franks_reichgelt_2020.xlsx",35,"A",,"Missing sample ID"
"stomata-franks_reichgelt_2020.xlsx",43,"A",,"Missing sample ID"
"stomata-franks_reichgelt_2020.xlsx",4,"measurement",,"No primary proxy measurement mapped"
"stomata-franks_reichgelt_2020.xlsx",17,"measurement",,"No primary proxy measurement mapped"
"stomata-franks_reichgelt_2020.xlsx",35,"measurement",,"No primary proxy measurement mapped"
"stomata-franks_reichgelt_2020.xlsx",43,"measurement",,"No primary proxy measurement mapped"
"stomata-franks_reichgelt_2020.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
